name.vec;alternative;by_removal;n_removal;by_fertility;n_fertility;predation;rate;Er;Ef;Rm;ext50;Re;Erf;ETI;MTI
v2026;rp;1;50;0;0;Without predation;Mean;7,42;0;0,0104127186879123;1;84,176;7,42;40,0812981405527;0,00495812680792528
v2026;rp;1;75;0;0;With predation;Max;5,74;0;0,0104384133611691;1;92;5,74;51,8206426712244;0,00587962270482259
v2026;rp;1;75;0;0;With predation;Mean;5,22;0;0,0104664089994224;1;92;5,22;54,5866079513208;0,00621006265988746
v2026;rp;1;75;0;0;Without predation;Max;8,06;0;0,0103950103950104;1;88;8,06;39,3044134649993;0,00464283848339152
v2026;rp;1;75;0;0;Without predation;Mean;7,06;0;0,0103999313101794;1;89,74;7,06;44,2969843135558;0,0051335591052939
v2026;rp;1;100;0;0;With predation;Max;5,8;0;0,0104384133611691;1;94;5,8;52,6304464571478;0,00584445059045305
v2026;rp;1;100;0;0;With predation;Mean;5,3;0;0,010425116254898;1;93,996;5,3;55,3265127298867;0,00613627523710757
v2026;rp;1;100;0;0;Without predation;Max;7,64;0;0,0103820598006645;1;92;7,64;42,8535537837842;0,00483595823972
v2026;rp;1;100;0;0;Without predation;Mean;6,82;0;0,010394261711905;1;92,076;6,82;46,554064889043;0,00525538831193493
v2026;rp;2;25;0;0;With predation;Max;5,1;0;0,011384335154827;1;58;5,1;34,8287435711114;0,00683624292819067
v2026;rp;2;25;0;0;With predation;Mean;3,92;0;0,0112577797684189;1;69,032;3,92;46,6452063949299;0,00760692810358335
v2026;rp;2;25;0;0;Without predation;Max;12,5;0;0,00327267967011389;0;0;12,5;0;0,000937638424074454
v2026;rp;2;25;0;0;Without predation;Mean;12,5;0;0,00564815361844403;0,008;0,04;12,5;0,0114601918744076;0,00161822310508745
v2026;rp;2;50;0;0;With predation;Max;5,52;0;0,0108318890814558;1;78;5,52;44,9121709834562;0,00623696992948943
v2026;rp;2;50;0;0;With predation;Mean;4,64;0;0,0108370481985461;1;81,904;4,64;51,4982501650732;0,00681394094524911
v2026;rp;2;50;0;0;Without predation;Max;25;0;0,00496327178876315;0;0;25;0;0,000407410157950659
v2026;rp;2;50;0;0;Without predation;Mean;9,42;0;0,010429138235494;1;62,468;9,42;24,3529849108976;0,00406577201259286
v2026;rp;2;75;0;0;With predation;Max;5,64;0;0,0106405618216642;1;86;5,64;48,9278760414045;0,00605372197466613
v2026;rp;2;75;0;0;With predation;Mean;4,94;0;0,0107008149510758;1;86,048;4,94;52,5048360233868;0,00652943164655589
v2026;rp;2;75;0;0;Without predation;Max;11,2;0;0,0103755965968043;1;70;11,2;22,8395856236128;0,00338534752669681
v2026;rp;2;75;0;0;Without predation;Mean;7,9;0;0,0105487052759171;1;78,88;7,9;35,7992774518722;0,0047874749864425
v2026;rp;2;100;0;0;With predation;Max;5,72;0;0,0106269925611052;1;90;5,72;50,7955966307423;0,00599782697257554
v2026;rp;2;100;0;0;With predation;Mean;5,14;0;0,0105911474864501;1;90;5,14;53,8288554656485;0,00633454830292766
v2026;rp;2;100;0;0;Without predation;Max;9,1;0;0,010501995379122;1;82;9,1;33,0069863707582;0,00422730754078591
v2026;rp;2;100;0;0;Without predation;Mean;7,34;0;0,01054210388557;1;85,552;7,34;41,0636941954107;0,00506005388691436
v2026;rp;5;25;0;0;With predation;Max;4,5;0;0,013846579894766;1;18;4,5;11,4773067291919;0,00882896914458285
v2026;rp;5;25;0;0;With predation;Mean;2,84;0;0,0124635446592161;1;46,844;2,84;35,2626007046171;0,00938214069426394
v2026;rp;5;25;0;0;Without predation;Max;5;0;0,00300571085061617;0;0;5;0;0,00182305578512965
v2026;rp;5;25;0;0;Without predation;Mean;5;0;0,003931231461552;0;0;5;0;0,00238441241185819
v2026;rp;5;50;0;0;With predation;Max;5,02;0;0,0117288294628196;1;48;5,02;29,0553029110188;0,00709968110070635
v2026;rp;5;50;0;0;With predation;Mean;3,86;0;0,0115608441819377;1;66,296;3,86;45,0660667705026;0,00785872112686407
v2026;rp;5;50;0;0;Without predation;Max;10;0;0,00319366377107818;0;0;10;0;0,00117488324339372
v2026;rp;5;50;0;0;Without predation;Mean;10;0;0,00480092708947754;0;0;10;0;0,00176616237478184
