name.vec;removal_type;by_removal;n_removal;by_fertility;n_fertility;puma;tasa;Er;Ef;Rm;ext50;Re;Erf;IER;IEM
v2026;fixed;5;100;0;0;with;max;4,66;0;0,0110570544007077;1;70;4,66;15,0214592274678;0,00237275845508748
v2026;fixed;5;100;0;0;without;mean;8,06;0;0,0116276673621083;1;39,708;8,06;4,92655086848635;0,00144263863053452
v2026;fixed;5;100;0;0;without;max;20;0;0,00478560490045942;0;0;20;0;0,000239280245022971
v2026;fixed;0;0;1;25;with;mean;0;23,9;0,0168512348101641;0;0;23,9;0;0,000705072586199334
v2026;fixed;0;0;1;25;with;max;0;24,5;0,0120510966497951;0;0;24,5;0;0,000491881495910005
v2026;fixed;0;0;1;25;without;mean;0;24,5;0,00399769447539331;0;0;24,5;0;0,000163171203077278
v2026;fixed;0;0;1;25;without;max;0;24,5;0,00310655483069276;0;0;24,5;0;0,000126798156354807
v2026;fixed;0;0;1;50;with;mean;0;43,46;0,0168516701152092;0;0;43,46;0;0,000387751268182449
v2026;fixed;0;0;1;50;with;max;0;49;0,0157728706624606;0;0;49;0;0,000321895319642052
v2026;fixed;0;0;1;50;without;mean;0;49;0,0047487596984841;0;0;49;0;9,69134632343695e-05
v2026;fixed;0;0;1;50;without;max;0;49;0,00341903719912473;0;0;49;0;6,97762693698924e-05
v2026;fixed;0;0;1;75;with;mean;0;61,38;0,0176009423266384;0;0;61,38;0;0,000286753703594631
v2026;fixed;0;0;1;75;with;max;0;68,76;0,0168976005407232;0;0;68,76;0;0,000245747535496266
v2026;fixed;0;0;1;75;without;mean;0;73,5;0,00720919025419703;0;0;73,5;0;9,80842211455378e-05
v2026;fixed;0;0;1;75;without;max;0;73,5;0,00382467681480915;0;0;73,5;0;5,20364192491041e-05
v2026;fixed;0;0;1;100;with;mean;0;69,38;0,0190119422512394;0;0;69,38;0;0,000274026264791574
v2026;fixed;0;0;1;100;with;max;0;79,46;0,0181554103122731;0;0;79,46;0;0,000228484901991858
v2026;fixed;0;0;1;100;without;mean;0;71,3;0,0116710510378202;0;0;71,3;0;0,000163689355369148
v2026;fixed;0;0;1;100;without;max;0;98;0,00469175190015952;0;0;98;0;4,78750193893829e-05
v2026;fixed;0;0;2;25;with;mean;0;12,48;0,0172344138103696;0;0;12,48;0;0,00138096264506166
v2026;fixed;0;0;2;25;with;max;0;12,5;0,0106179655977915;0;0;12,5;0;0,000849437247823317
v2026;fixed;0;0;2;25;without;mean;0;12,5;0,00375490306173373;0;0;12,5;0;0,000300392244938699
v2026;fixed;0;0;2;25;without;max;0;12,5;0,00297565910849253;0;0;12,5;0;0,000238052728679403
v2026;fixed;0;0;2;50;with;mean;0;21,72;0,0172421561724519;0;0;21,72;0;0,000793837761162613
v2026;fixed;0;0;2;50;with;max;0;25;0,0118119536971415;0;0;25;0;0,00047247814788566
v2026;fixed;0;0;2;50;without;mean;0;25;0,00399862323973219;0;0;25;0;0,000159944929589288
v2026;fixed;0;0;2;50;without;max;0;25;0,00310674785634398;0;0;25;0;0,000124269914253759
v2026;fixed;0;0;2;75;with;mean;0;31,4;0,0177056020845494;0;0;31,4;0;0,000563872677851891
v2026;fixed;0;0;2;75;with;max;0;37,5;0,0141362736782584;0;0;37,5;0;0,000376967298086891
v2026;fixed;0;0;2;75;without;mean;0;37,5;0,00433085772724155;0;0;37,5;0;0,000115489539393108
v2026;fixed;0;0;2;75;without;max;0;37,5;0,00325034128583501;0;0;37,5;0;8,6675767622267e-05
v2026;fixed;0;0;2;100;with;mean;0;34,4;0,0185293357558236;0;0;34,4;0;0,000538643481273942
v2026;fixed;0;0;2;100;with;max;0;47,28;0,0158127767235927;0;0;47,28;0;0,000334449592292569
v2026;fixed;0;0;2;100;without;mean;0;50;0,00481907049460469;0;0;50;0;9,63814098920939e-05
v2026;fixed;0;0;2;100;without;max;0;50;0,00342935528120713;0;0;50;0;6,85871056241427e-05
v2026;fixed;0;0;5;25;with;mean;0;5;0,0175247161534456;0;0;5;0;0,00350494323068912
v2026;fixed;0;0;5;25;with;max;0;5;0,0099009900990099;0;0;5;0;0,00198019801980198
v2026;fixed;0;0;5;25;without;mean;0;5;0,00365057666887279;0;0;5;0;0,000730115333774559
v2026;fixed;0;0;5;25;without;max;0;5;0,0029125648045669;0;0;5;0;0,00058251296091338
